"Date","Time","Open","High","Low","Close","Vol","OI"
07/21/2017,12:00,329.46,331.26,325.80,328.40,4901485,0
07/24/2017,12:00,330.24,343.40,330.01,342.52,8637082,0
07/25/2017,12:00,345.00,345.60,334.15,339.60,6989197,0
07/26/2017,12:00,341.28,345.50,338.12,343.85,4820790,0
07/27/2017,12:00,346.00,347.50,326.29,334.46,8302405,0
07/28/2017,12:00,336.89,339.60,332.51,335.07,4880414,0
07/31/2017,12:00,335.50,341.49,321.04,323.47,8535136,0
08/01/2017,12:00,323.00,324.45,316.13,319.57,8303102,0
08/02/2017,12:00,318.94,327.12,311.22,325.89,13091462,0
08/03/2017,12:00,346.79,350.00,343.15,347.09,13535033,0
08/04/2017,12:00,347.00,357.27,343.30,356.91,9268909,0
08/07/2017,12:00,357.35,359.48,352.75,355.17,6324480,0
08/08/2017,12:00,357.53,368.58,357.40,365.22,7449837,0
08/09/2017,12:00,361.00,370.00,358.95,363.53,6892096,0
08/10/2017,12:00,361.60,366.65,354.66,355.40,7092858,0
08/11/2017,12:00,356.97,361.26,353.62,357.87,4365783,0
08/14/2017,12:00,364.63,367.66,362.60,363.80,4519186,0
08/15/2017,12:00,365.20,365.49,359.37,362.33,3085088,0
08/16/2017,12:00,363.00,366.50,362.52,362.91,3413773,0
08/17/2017,12:00,361.21,363.30,351.59,351.92,5027660,0
08/18/2017,12:00,352.91,354.00,345.80,347.46,5408183,0
08/21/2017,12:00,345.05,345.82,331.85,337.86,6495424,0
08/22/2017,12:00,341.13,342.24,337.37,341.35,4321966,0
08/23/2017,12:00,338.99,353.49,338.30,352.77,4954504,0
08/24/2017,12:00,352.52,356.66,349.74,352.93,4584687,0
08/25/2017,12:00,354.24,355.69,347.30,348.05,3483956,0
08/28/2017,12:00,347.28,347.35,339.72,345.66,3763956,0
08/29/2017,12:00,339.48,349.05,338.75,347.36,4073675,0
08/30/2017,12:00,349.67,353.47,347.00,353.18,3412943,0
08/31/2017,12:00,353.55,358.44,352.82,355.90,4072795,0
09/01/2017,12:00,356.12,357.59,353.69,355.40,3049546,0
09/05/2017,12:00,353.80,355.49,345.89,349.59,3848382,0
09/06/2017,12:00,349.50,350.98,341.56,344.53,4091351,0
09/07/2017,12:00,345.98,352.48,343.45,350.61,4239213,0
09/08/2017,12:00,348.99,349.78,342.30,343.40,3263508,0
09/11/2017,12:00,351.35,363.71,350.00,363.69,7667055,0
09/12/2017,12:00,364.49,368.76,360.40,362.75,5972907,0
09/13/2017,12:00,363.82,368.07,359.59,366.23,4185231,0
09/14/2017,12:00,364.33,377.96,362.63,377.64,7202524,0
09/15/2017,12:00,374.51,380.00,372.70,379.81,5420496,0
09/18/2017,12:00,380.25,389.61,377.68,385.00,7187980,0
09/19/2017,12:00,380.00,382.39,373.57,375.10,6451886,0
09/20/2017,12:00,373.00,378.25,371.07,373.91,4919052,0
09/21/2017,12:00,374.90,376.83,364.51,366.48,4618190,0
09/22/2017,12:00,366.49,369.90,350.88,351.09,8159418,0
09/25/2017,12:00,353.15,357.47,342.88,344.99,7605946,0
09/26/2017,12:00,350.93,351.24,340.90,345.25,7156274,0
09/27/2017,12:00,349.90,351.49,340.50,340.97,6060330,0
09/28/2017,12:00,339.88,342.75,335.40,339.60,5319617,0
09/29/2017,12:00,341.86,344.68,338.60,341.10,5107082,0
10/02/2017,12:00,342.52,343.70,335.51,341.53,5286774,0
10/03/2017,12:00,335.90,348.55,331.28,348.14,10153596,0
10/04/2017,12:00,351.25,358.62,349.60,355.01,8163543,0
10/05/2017,12:00,356.00,357.44,351.35,355.33,4171675,0
10/06/2017,12:00,353.10,360.10,352.25,356.88,4297474,0
10/09/2017,12:00,349.65,351.75,342.67,342.94,7493654,0
10/10/2017,12:00,346.80,355.63,345.53,355.59,6978495,0
10/11/2017,12:00,353.89,357.60,351.15,354.60,4500831,0
10/12/2017,12:00,352.95,359.78,352.64,355.68,4087048,0
10/13/2017,12:00,356.98,358.49,353.68,355.57,3540533,0
10/16/2017,12:00,353.76,354.48,347.16,350.60,5375486,0
10/17/2017,12:00,350.91,356.22,350.07,355.75,3293345,0
